id,symbol,date,open1,high,low,close,vol,adj
,INTC,2021-02-24,60.52999878,63.27999878,60.38000107,63.18999863,24602700,63.18999863
,INTC,2021-02-23,60.47999954,61.5,59.16999817,61.11999893,27344800,61.11999893
,NFLX,2021-02-26,550.2700195,556.4799805,535.7999878,542.2299805,2203854,542.2299805
,NFLX,2021-02-24,539.7999878,556.8499756,539.0700073,553.4099731,3242400,553.4099731
,NFLX,2021-02-23,525,548.539978,518.2800293,546.1500244,4133500,546.1500244
,CMCSA,2021-02-26,53.09000015,53.40000153,51.95999908,52.70000076,11320273,52.70000076
,CMCSA,2021-02-24,52.56999969,53.52999878,52.56999969,53.40000153,19294900,53.40000153
,CMCSA,2021-02-23,52.79999924,53.41999817,52.08000183,53.34000015,18273400,53.34000015
,VZ,2021-02-26,56.11999893,56.84999847,55.74000168,56.47999954,16828133,56.47999954
,VZ,2021-02-24,57.08000183,57.41999817,56.66999817,57.11999893,17121900,57.11999893
,VZ,2021-02-23,56.81000137,57.52999878,56.29000092,57.02999878,21055000,57.02999878
,ADBE,2021-02-26,471.2399902,476.3099976,459.6099854,466.0899963,1636369,466.0899963
,ADBE,2021-02-24,463.4899902,477.3500061,460.2900085,476.6199951,3389700,476.6199951
,ADBE,2021-02-23,461.019989,471.4400024,450.1199951,467.7999878,4163500,467.7999878
,KO,2021-02-26,50.47000122,50.74499893,49.97999954,50.125,8073970,50.125
,KO,2021-02-24,50.38999939,50.90000153,50.13000107,50.70999908,14430200,50.70999908
,KO,2021-02-23,51,51.50999832,50.41999817,50.54000092,16218400,50.54000092
,CSCO,2021-02-26,45.58499908,46.24000168,45.31000137,45.85499954,12231864,45.85499954
,CSCO,2021-02-24,45.24000168,45.79999924,45.04000092,45.74000168,17821700,45.74000168
,CSCO,2021-02-23,45.25999832,45.77999878,45.09999847,45.50999832,19711400,45.50999832
,SAP,2021-02-26,125.5500031,126.1100006,123.8450012,124.9899979,427328,124.9899979
,SAP,2021-02-24,124.7900009,126.6200027,124.0400009,126.5599976,606100,126.5599976
,SAP,2021-02-23,124.3600006,125.7600021,123.1399994,124.8600006,1394200,124.8600006
,HDB,2021-02-26,82.79000092,83.59999847,82.09500122,82.74500275,1064219,82.74500275
,HDB,2021-02-24,82.15000153,83.12999725,81.52999878,82.5,1824700,82.5
,HDB,2021-02-23,79.51000214,80.43000031,78.40000153,79.87000275,1297900,79.87000275
,UL,2021-02-26,53.90000153,54.34999847,53.43999863,53.83169937,4011603,53.83169937
,UL,2021-02-24,53.88000107,54.50999832,53.88000107,54.25999832,4090500,54.25999832
,UL,2021-02-23,54.31999969,55.68999863,54.31999969,55.41999817,4018400,55.41999817
